Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
0.033,1459.98767089844,-110.003379821777,2149.09106445313,1499.81518554688,-96.9814758300781,2095.27978515625,1424.07336425781,-121.745811462402,2197.61499023438,1418.55334472656,176.912994384766,2184.9599609375,1327.68029785156,161.373687744141,2202.41333007813,1456.30700683594,426.630157470703,2319.53466796875,1398.13989257813,414.414001464844,2323.37841796875,1369.16198730469,535.905212402344,2309.5556640625,1327.302734375,522.090576171875,2320.42822265625,1466.75756835938,-491.820037841797,2041.15075683594,1483.20495605469,-345.353912353516,2109.32177734375,1468.00842285156,-240.703491210938,2123.39892578125,1452.53088378906,-542.973388671875,2010.91674804688,1484.65417480469,-460.756958007813,2033.47729492188,1455.61535644531,-474.959686279297,2072.06176757813,1531.89184570313,-393.768280029297,1964.81896972656,1393.72045898438,-472.436065673828,2148.47241210938,1574.71398925781,-191.933242797852,1977.16174316406,1393.75830078125,-305.696472167969,2277.13159179688,1460.34106445313,-61.7970542907715,1968.24584960938,1341.34155273438,-138.241180419922,2268.5263671875
0.066,1414.66186523438,-127.358421325684,2164.68872070313,1462.74548339844,-120.902732849121,2108.81420898438,1371.30285644531,-133.179794311523,2215.0732421875,1428.95556640625,196.705352783203,2168.27294921875,1299.9189453125,183.377395629883,2219.62866210938,1463.62109375,474.2763671875,2303.02490234375,1376.04516601563,458.470153808594,2349.90942382813,1384.93212890625,589.998352050781,2243.60668945313,1291.83984375,565.010009765625,2316.37377929688,1420.07897949219,-559.920837402344,2106.4326171875,1414.21618652344,-386.066375732422,2134.41430664063,1416.46716308594,-271.342620849609,2149.6064453125,1412.30212402344,-624.077331542969,2091.6640625,1430.91589355469,-527.122985839844,2086.70678710938,1408.89892578125,-535.309936523438,2136.01123046875,1456.66088867188,-459.003082275391,1996.39880371094,1371.67395019531,-511.621124267578,2233.18920898438,1469.75500488281,-236.287612915039,2019.2041015625,1380.37890625,-309.370086669922,2339.17724609375,1406.14819335938,-59.3374061584473,2027.66870117188,1313.42126464844,-133.334564208984,2368.49682617188
0.099,1407.59741210938,-124.399551391602,2169.69018554688,1458.52844238281,-116.620193481445,2112.12158203125,1361.67077636719,-131.414535522461,2221.60229492188,1419.60693359375,215.935684204102,2166.40356445313,1295.07702636719,200.766510009766,2226.92407226563,1456.06884765625,505.871887207031,2306.73291015625,1356.9326171875,500.754241943359,2343.06469726563,1380.42309570313,629.381958007813,2241.78662109375,1268.23303222656,606.89697265625,2296.22900390625,1405.25073242188,-574.328247070313,2097.33862304688,1404.32727050781,-393.385192871094,2130.4482421875,1409.18481445313,-274.369995117188,2150.82861328125,1395.30200195313,-640.670227050781,2080.30737304688,1417.99829101563,-540.027404785156,2077.70068359375,1393.84887695313,-548.946228027344,2128.57739257813,1444.42102050781,-471.868408203125,1981.12658691406,1352.64868164063,-525.244995117188,2229.35791015625,1470.84399414063,-241.610214233398,1947.89001464844,1363.80151367188,-318.043762207031,2347.08154296875,1384.87268066406,-66.0189971923828,1928.01098632813,1301.89331054688,-132.844207763672,2385.4345703125
0.198,1379.83203125,-97.1804733276367,2180.26733398438,1419.51892089844,-81.6017227172852,2115.09350585938,1344.04455566406,-111.228507995605,2239.03759765625,1274.470703125,209.131851196289,2221.65356445313,1264.04284667969,219.422500610352,2269.66821289063,1381.44409179688,492.399566650391,2344.55444335938,1321.86804199219,534.68798828125,2349.10986328125,1287.37805175781,619.936340332031,2322.43090820313,1212.86950683594,626.129150390625,2311.2802734375,1356.9130859375,-546.417236328125,2092.07934570313,1374.17895507813,-363.009582519531,2113.28295898438,1376.01623535156,-244.797714233398,2142.658203125,1340.70275878906,-612.906616210938,2078.501953125,1375.15319824219,-515.007019042969,2071.26196289063,1345.96130371094,-517.460815429688,2120.71655273438,1436.40100097656,-477.601013183594,1972.48083496094,1297.90002441406,-483.513549804688,2216.39770507813,1515.3388671875,-275.269653320313,1880.06188964844,1287.30517578125,-299.807647705078,2371.24682617188,1377.23742675781,-140.655624389648,1834.76672363281,1188.39562988281,-126.883224487305,2347.61352539063
0.231,1348.81201171875,-128.435775756836,2168.24584960938,1400.32690429688,-123.356300354004,2106.64135742188,1302.35876464844,-133.016159057617,2223.79711914063,1434.12524414063,223.871994018555,2162.31958007813,1239.123046875,210.442916870117,2274.576171875,1525.65515136719,524.473327636719,2285.83374023438,1209.37658691406,545.563720703125,2331.275390625,1442.55786132813,656.697082519531,2231.5849609375,1076.63391113281,612.712646484375,2299.55541992188,1317.81518554688,-599.181701660156,2119.78686523438,1327.7314453125,-408.007446289063,2127.56616210938,1337.37390136719,-283.854736328125,2145.8662109375,1303.87426757813,-669.366333007813,2111.056640625,1334.97644042969,-567.629760742188,2095.68530273438,1305.58544921875,-567.677185058594,2147.28979492188,1364.40795898438,-523.210754394531,1981.33959960938,1234.38745117188,-529.121337890625,2230.43334960938,1450.07629394531,-298.372619628906,1941.60864257813,1262.13732910156,-309.036193847656,2342.3876953125,1333.0771484375,-133.963760375977,1907.34814453125,1176.96618652344,-127.550422668457,2289.7666015625
0.264,1336.32092285156,-129.919662475586,2187.25952148438,1374.53833007813,-120.622283935547,2116.16967773438,1301.85852050781,-138.303512573242,2251.3642578125,1243.11413574219,193.202041625977,2223.32495117188,1198.16613769531,201.375518798828,2280.21826171875,1427.14782714844,465.235382080078,2314.66967773438,1152.48803710938,540.454345703125,2320.36010742188,1355.26330566406,615.872924804688,2316.75927734375,1011.25720214844,597.080932617188,2299.5390625,1285.36047363281,-601.128356933594,2118.03686523438,1307.94299316406,-409.791656494141,2135.40112304688,1320.52941894531,-285.447357177734,2158.4296875,1265.97973632813,-670.450561523438,2107.24536132813,1301.10888671875,-568.702575683594,2093.38061523438,1278.83337402344,-570.585388183594,2149.0205078125,1331.20776367188,-533.908813476563,1974.60559082031,1220.98034667969,-544.548706054688,2247.53930664063,1399.03454589844,-297.419738769531,1964.591796875,1242.32653808594,-303.892791748047,2315.16015625,1311.43713378906,-110.272079467773,1967.91784667969,1173.34558105469,-109.037788391113,2282.45141601563
0.297,1293.62829589844,-120.986404418945,2185.50756835938,1332.29431152344,-114.349296569824,2114.18872070313,1258.76147460938,-126.971366882324,2249.81884765625,1353.36645507813,241.86083984375,2133.8623046875,1136.91516113281,206.723236083984,2285.08032226563,1505.78356933594,524.909912109375,2249.19604492188,1041.33239746094,536.131286621094,2323.43383789063,1434.14636230469,673.201049804688,2220.11596679688,894.251220703125,575.532775878906,2301.31518554688,1237.17956542969,-594.481018066406,2133.38061523438,1261.3125,-402.366333007813,2141.80102539063,1275.8017578125,-277.382202148438,2161.2880859375,1216.66442871094,-664.214965820313,2127.568359375,1248.90441894531,-562.703247070313,2105.68212890625,1235.26171875,-563.016235351563,2164.18701171875,1256.39282226563,-521.17138671875,1985.25012207031,1201.05725097656,-533.244506835938,2272.4736328125,1344.35607910156,-292.259155273438,1958.48266601563,1268.95922851563,-304.245056152344,2350.75390625,1312.30639648438,-88.1547164916992,1972.00048828125,1199.59704589844,-107.167381286621,2333.14697265625
0.33,1273.33911132813,-111.987411499023,2189.36254882813,1311.501953125,-106.710540771484,2117.17846679688,1238.92602539063,-116.745796203613,2254.45385742188,1333.75061035156,251.815551757813,2113.1083984375,1107.29235839844,215.331939697266,2288.68603515625,1504.90612792969,532.993530273438,2210.64965820313,998.411376953125,542.741943359375,2324.88134765625,1440.86437988281,685.359558105469,2179.93286132813,848.379028320313,575.007629394531,2305.60913085938,1205.15466308594,-587.20263671875,2151.14013671875,1238.93347167969,-395.336212158203,2150.45874023438,1255.14147949219,-269.629486083984,2168.21752929688,1181.22937011719,-656.421020507813,2148.06030273438,1219.81274414063,-557.472412109375,2122.23022460938,1203.46911621094,-553.845153808594,2180.25170898438,1240.77600097656,-529.345886230469,1998.84228515625,1160.2529296875,-515.229919433594,2283.05078125,1326.48718261719,-313.924957275391,1910.8720703125,1191.63122558594,-287.401672363281,2387.69140625,1260.7900390625,-117.658149719238,1888.96081542969,1120.88537597656,-89.0667572021484,2378.81518554688
0.363,1234.69287109375,-93.6943969726563,2198.97485351563,1270.19030761719,-81.0809326171875,2127.6455078125,1202.68310546875,-105.068511962891,2263.29565429688,1180.14245605469,245.177276611328,2231.95703125,1055.13952636719,214.798904418945,2296.15600585938,1388.34765625,499.358764648438,2313.23999023438,937.439270019531,533.758666992188,2333.5576171875,1341.28479003906,658.266235351563,2314.4169921875,791.905883789063,573.268859863281,2310.96508789063,1174.61572265625,-557.858215332031,2119.4765625,1204.01953125,-368.697113037109,2135.08032226563,1216.14538574219,-246.194869995117,2162.77734375,1152.14086914063,-626.119689941406,2111.88110351563,1185.20166015625,-525.348388671875,2092.8056640625,1175.57299804688,-528.156372070313,2151.49047851563,1203.61010742188,-488.355895996094,1973.27954101563,1161.36584472656,-499.548278808594,2263.36376953125,1271.81176757813,-253.59684753418,1971.31140136719,1226.36169433594,-276.484252929688,2353.185546875,1231.6162109375,-53.2877006530762,1990.36071777344,1190.79858398438,-73.3236083984375,2378.40454101563
0.396,1173.1982421875,-95.5547866821289,2184.35131835938,1204.17358398438,-86.6443939208984,2111.35620117188,1145.26623535156,-103.589668273926,2250.17407226563,1180.30358886719,249.792419433594,2206.10473632813,1011.66369628906,217.367752075195,2290.291015625,1357.36328125,520.291381835938,2293.17553710938,922.288757324219,540.619018554688,2334.93188476563,1296.29016113281,672.364501953125,2297.76806640625,781.754272460938,595.284973144531,2331.30834960938,1116.67370605469,-558.757385253906,2127.27685546875,1141.34301757813,-370.638702392578,2137.25415039063,1153.32177734375,-248.029052734375,2157.30419921875,1095.95153808594,-626.997985839844,2122.38330078125,1124.79211425781,-526.918273925781,2099.705078125,1118.52868652344,-528.673767089844,2158.23681640625,1133.92578125,-481.894409179688,1983.34655761719,1112.03527832031,-494.669647216797,2267.99291992188,1168.32299804688,-242.523193359375,1983.84716796875,1152.76452636719,-266.345031738281,2351.2080078125,1119.35632324219,-47.1817092895508,2009.16455078125,1136.47802734375,-65.7810745239258,2393.10595703125
