,Time,Pelvis_X,Pelvis_Y,Pelvis_Z,HipL_X,HipL_Y,HipL_Z,HipR_X,HipR_Y,HipR_Z,KneeL_X,KneeL_Y,KneeL_Z,KneeR_X,KneeR_Y,KneeR_Z,AnkleL_X,AnkleL_Y,AnkleL_Z,AnkleR_X,AnkleR_Y,AnkleR_Z,FootL_X,FootL_Y,FootL_Z,FootR_X,FootR_Y,FootR_Z,Neck_X,NeckY,NeckZ,Spin_Chest_X,Spin_Chest_Y,Spin_Chest_Z,Navel_X,Navel_Y,Navel_Z,Head_X,Head_Y,Head_Z,ClavicleL_X,ClavicleL_Y,ClavicleL_Z,ClavicleR_X,ClavicleR_Y,ClavicleR_Z,ShoulderL_X,ShoulderL_Y,ShoulderL_Z,ShoulderR_X,ShoulderR_Y,ShoulderR_Z,ElbowL_X,ElbowL_Y,ElbowL_Z,ElbowR_X,ElbowR_Y,ElbowR_Z,WristL_X,WristL_Y,WristL_Z,WristR_X,WristR_Y,WristR_Z
10,1.056,352.814819335938,-170.133544921875,2212.68920898438,378.603729248047,-156.953216552734,2132.33203125,329.559844970703,-182.018829345703,2285.15087890625,464.953887939453,205.550827026367,2174.49096679688,220.694351196289,173.912307739258,2327.59594726563,604.131103515625,530.373352050781,2234.2880859375,142.439849853516,525.255981445313,2367.673828125,506.178070068359,675.059692382813,2217.87377929688,-2.86448001861572,595.608459472656,2370.4755859375,366.321441650391,-670.153381347656,2155.41918945313,360.999084472656,-467.151885986328,2166.59814453125,354.7568359375,-335.14306640625,2186.2470703125,355.816925048828,-745.747741699219,2149.86865234375,369.906433105469,-635.054260253906,2126.0341796875,362.942993164063,-638.122863769531,2188.61499023438,377.373901367188,-593.221069335938,1999.04125976563,342.412628173828,-600.706420898438,2304.18188476563,359.206207275391,-335.01953125,2003.0205078125,352.497589111328,-345.568664550781,2370.33740234375,207.08024597168,-180.244537353516,2013.49047851563,263.068695068359,-144.721908569336,2378.8818359375
11,1.089,329.77392578125,-169.953704833984,2217.63134765625,365.584411621094,-156.846633911133,2141.66552734375,297.482086181641,-181.772933959961,2286.13305664063,456.649993896484,202.300476074219,2186.31420898438,203.235290527344,176.563339233398,2327.1953125,596.192749023438,527.209411621094,2232.85961914063,136.734786987305,528.507202148438,2367.2958984375,497.616058349609,669.068664550781,2207.228515625,-7.21667718887329,599.828125,2370.13232421875,335.755493164063,-666.602844238281,2158.2490234375,327.058685302734,-464.534820556641,2165.5244140625,324.769744873047,-333.356750488281,2187.07885742188,326.68994140625,-742.050048828125,2153.3330078125,340.811370849609,-632.107299804688,2128.71533203125,329.768432617188,-634.247497558594,2190.4326171875,361.907562255859,-592.653137207031,2003.18957519531,304.644134521484,-595.431335449219,2303.97290039063,341.087707519531,-335.960327148438,2009.23608398438,308.890472412109,-341.885528564453,2371.740234375,198.883529663086,-173.7236328125,2023.54309082031,241.714660644531,-134.212768554688,2388.99975585938
12,1.122,235.550079345703,-181.144073486328,2231.49194335938,259.372100830078,-161.694152832031,2153.85180664063,214.068710327148,-198.682922363281,2301.50366210938,297.553497314453,202.574264526367,2170.63012695313,162.419418334961,157.712478637695,2368.25903320313,522.031677246094,468.492553710938,2211.60375976563,180.260345458984,506.933441162109,2423.98193359375,495.300109863281,637.957824707031,2213.83129882813,59.219181060791,607.018981933594,2439.82739257813,258.373474121094,-665.170654296875,2150.03515625,250.597747802734,-467.01318359375,2164.49487304688,242.36100769043,-339.982391357422,2193.79077148438,249.420761108398,-738.944091796875,2141.41259765625,266.139373779297,-630.199462890625,2122.98217773438,249.918075561523,-634.614440917969,2182.27905273438,306.167541503906,-577.828857421875,2009.86291503906,215.338134765625,-594.591125488281,2290.48803710938,290.876892089844,-325.747863769531,2026.45703125,244.014205932617,-348.054107666016,2360.47192382813,162.579376220703,-157.021347045898,2012.55651855469,207.90788269043,-137.093536376953,2382.005859375
13,1.155,214.626770019531,-174.749435424805,2240.63256835938,233.884902954102,-154.914703369141,2160.82104492188,197.260864257813,-192.635269165039,2312.60205078125,244.79182434082,215.279937744141,2179.78295898438,151.89875793457,165.938461303711,2393.8046875,494.819641113281,464.150543212891,2213.77026367188,202.875152587891,515.694946289063,2451.5458984375,477.476165771484,636.622741699219,2221.99389648438,89.6519927978516,625.133422851563,2477.92846679688,226.770202636719,-664.185607910156,2156.23852539063,221.738922119141,-463.648681640625,2170.5517578125,217.024871826172,-335.250122070313,2201.32373046875,216.694915771484,-738.671264648438,2147.51391601563,235.422485351563,-628.970886230469,2128.9150390625,218.353042602539,-633.11376953125,2188.72802734375,278.203491210938,-581.894897460938,2012.77380371094,180.744293212891,-593.463195800781,2297.603515625,267.934844970703,-326.792144775391,2031.32958984375,193.946838378906,-339.236877441406,2354.38989257813,154.320266723633,-144.776123046875,2020.29345703125,161.558258056641,-125.032943725586,2374.47973632813
14,1.188,146.8759765625,-182.555130004883,2204.25537109375,173.99348449707,-172.826919555664,2126.01806640625,122.42293548584,-191.327484130859,2274.8056640625,94.5338287353516,181.187210083008,2174.53002929688,57.3167877197266,160.242858886719,2351.38500976563,349.775024414063,416.475463867188,2217.814453125,169.150299072266,491.260070800781,2405.15649414063,367.730773925781,586.703674316406,2224.30737304688,92.9971771240234,627.335998535156,2428.005859375,161.418395996094,-671.896484375,2158.52026367188,164.345306396484,-474.015411376953,2174.0693359375,156.538162231445,-344.527954101563,2187.46435546875,148.918640136719,-744.822021484375,2148.30151367188,174.035934448242,-637.430541992188,2132.80078125,151.591873168945,-641.044250488281,2189.98071289063,229.739242553711,-585.085815429688,2026.77111816406,108.776092529297,-600.392944335938,2294.73706054688,220.636352539063,-332.614227294922,2031.32458496094,127.564270019531,-351.341674804688,2357.2236328125,155.58024597168,-130.931304931641,2023.14135742188,128.144912719727,-139.955352783203,2395.12646484375
15,1.221,116.059928894043,-193.396026611328,2240.6171875,147.981948852539,-175.76220703125,2166.24658203125,87.2744445800781,-209.297225952148,2307.68041992188,48.3699073791504,173.550720214844,2183.953125,-3.14239406585693,137.373992919922,2367.80419921875,294.645233154297,415.751037597656,2222.45654296875,105.765251159668,465.608062744141,2429.05249023438,291.152465820313,585.394836425781,2209.40014648438,19.0883502960205,595.972045898438,2431.93041992188,139.215194702148,-674.340576171875,2160.57885742188,132.382019042969,-478.206085205078,2180.09252929688,125.711845397949,-351.691162109375,2207.22729492188,130.331649780273,-747.112426757813,2149.09912109375,149.586715698242,-638.995422363281,2135.56469726563,128.408187866211,-644.863647460938,2192.611328125,200.462432861328,-586.305725097656,2028.33129882813,87.5255889892578,-608.932861328125,2298.9580078125,222.917236328125,-336.366271972656,2034.93237304688,122.41854095459,-371.264556884766,2386.82592773438,164.435256958008,-134.059921264648,2028.2978515625,100.406723022461,-161.763763427734,2420.70703125
16,1.254,81.8434906005859,-196.794570922852,2251.52563476563,108.734786987305,-178.51921081543,2175.53173828125,57.5944175720215,-213.274276733398,2320.05297851563,-45.2962951660156,149.4794921875,2195.36206054688,-42.4131011962891,128.665512084961,2387.0927734375,122.345687866211,450.827789306641,2232.44116210938,72.8532257080078,453.174713134766,2452.21606445313,73.5838088989258,613.39697265625,2226.61059570313,-11.9650211334229,583.990051269531,2462.53857421875,70.7371292114258,-674.215942382813,2155.45239257813,81.2448348999023,-479.669586181641,2183.28662109375,83.4402160644531,-354.157928466797,2214.24731445313,55.7367820739746,-745.13818359375,2140.33862304688,85.6675415039063,-639.134460449219,2132.63525390625,61.057487487793,-645.197082519531,2188.12573242188,150.048614501953,-593.024841308594,2030.05859375,17.6622009277344,-611.974731445313,2294.076171875,206.095703125,-349.004699707031,2038.22277832031,65.8507690429688,-385.750061035156,2402.015625,171.439895629883,-142.10237121582,2024.20092773438,57.4370231628418,-177.35627746582,2444.83764648438
17,1.287,65.8299713134766,-193.740997314453,2258.70068359375,77.9606323242188,-175.067230224609,2177.7216796875,54.8912124633789,-210.579940795898,2331.72265625,-89.3548049926758,152.554412841797,2202.9375,72.9830474853516,157.001159667969,2346.90551757813,46.9125595092773,476.506896972656,2228.82592773438,130.173080444336,508.265899658203,2359.27587890625,-36.8960800170898,627.234802246094,2234.43383789063,16.6402378082275,619.22998046875,2358.255859375,37.1237335205078,-679.268859863281,2168.20874023438,51.5914840698242,-481.052825927734,2190.31323242188,59.1759910583496,-353.510223388672,2220.86083984375,20.2317943572998,-751.522338867188,2155.75732421875,51.3426780700684,-644.463623046875,2143.21728515625,29.5256862640381,-648.768798828125,2201.07568359375,112.881004333496,-603.967468261719,2034.08532714844,-16.9939880371094,-610.266052246094,2306.08032226563,181.620864868164,-358.901947021484,2035.90295410156,33.3205986022949,-379.734100341797,2413.70751953125,162.886169433594,-146.376449584961,2024.97485351563,13.5466718673706,-166.506774902344,2444.42138671875
18,1.32,3.55528020858765,-201.936401367188,2260.01440429688,1.55815875530243,-184.597534179688,2177.57202148438,5.35617208480835,-217.571624755859,2334.35595703125,-148.042755126953,152.530624389648,2206.79736328125,-60.7732315063477,135.335845947266,2421.98388671875,-123.166847229004,504.993927001953,2220.1650390625,25.8965110778809,479.495239257813,2463.39477539063,-245.274887084961,626.529052734375,2237.35131835938,-77.1009140014648,595.750183105469,2498.76879882813,5.86905908584595,-692.008361816406,2189.56225585938,-4.7867865562439,-491.878387451172,2199.23706054688,5.9122142791748,-363.259613037109,2226.0283203125,-2.14279627799988,-766.770263671875,2182.78930664063,12.9785776138306,-657.302734375,2161.3310546875,-2.86230063438416,-660.49658203125,2221.39013671875,47.9798469543457,-612.101623535156,2042.22509765625,-32.3225631713867,-625.632080078125,2334.03466796875,133.157516479492,-371.40625,2036.20690917969,-94.3374938964844,-401.560607910156,2450.92407226563,133.858657836914,-157.426864624023,2023.56311035156,-222.597351074219,-228.755462646484,2479.31372070313
19,1.353,-18.823766708374,-183.795928955078,2268.564453125,-18.0054092407227,-163.637435913086,2185.04638671875,-19.5617179870605,-201.973739624023,2343.87646484375,-171.048843383789,179.969604492188,2213.63500976563,-77.0710906982422,159.657241821289,2432.84228515625,-189.357971191406,539.513122558594,2232.80004882813,25.9332656860352,506.070495605469,2478.78735351563,-341.891693115234,628.367858886719,2231.95825195313,-82.2026901245117,622.838317871094,2511.20263671875,-43.1092681884766,-680.682373046875,2182.84326171875,-38.5689125061035,-476.694000244141,2197.67504882813,-21.1247673034668,-347.193481445313,2229.10302734375,-56.7301254272461,-755.828735351563,2173.232421875,-31.0378036499023,-645.355590820313,2155.64965820313,-51.7775497436523,-648.680358886719,2215.48315429688,21.123197555542,-602.964965820313,2038.91369628906,-88.6759490966797,-611.520080566406,2327.79614257813,110.300094604492,-358.316162109375,2038.1591796875,-128.349044799805,-376.536834716797,2444.43627929688,123.228408813477,-140.536178588867,2025.12023925781,-226.406799316406,-181.139343261719,2478.88500976563
